Day fraction since midnight on 	pH probe (pH)
0.634898571	6.946536064
0.634910138	6.940370083
0.634921726	6.935192108
0.634933287	6.956317425
0.634944879	6.935122013
0.634956432	6.935277462
0.634968034	6.941442013
0.634979593	6.921167374
0.634991166	6.922783852
0.635002726	6.932104111
0.635014313	6.924567223
0.635025904	6.915790081
0.635037473	6.920297623
0.635049047	6.904808044
0.635060604	6.936316967
0.635072215	6.92044735
0.635083747	6.901872635
0.635095335	6.899968147
0.635106906	6.921488762
0.635118466	6.883729458
0.635130071	6.917589188
0.635141645	6.883836746
0.635153234	6.90226078
0.635164788	6.883419991
0.635176356	6.916128159
0.635187912	6.86234951
0.635199514	6.882966995
0.635211082	6.863304138
0.63522265	6.889879227
0.635234228	6.872367859
0.635245785	6.868477821
0.635257388	6.852797508
0.63526893	6.869672298
0.635280527	6.842922688
0.635292081	6.851802349
0.635303671	6.829001904
0.635315244	6.831292152
0.6353268	6.810472488
0.635338395	6.842756748
0.635349954	6.808895588
0.635361548	6.835810661
0.635373124	6.81221199
0.635384684	6.797841549
0.635396278	6.800142765
0.635407824	6.815343857
0.635419412	6.800725937
0.635430997	6.795321465
0.63544256	6.792078495
0.635454124	6.789036751
0.635465709	6.782863617
0.635477286	6.784526825
0.635488835	6.771759987
0.635500414	6.784779549
0.635512003	6.776299954
0.635523561	6.7971735
0.635535167	6.79046154
0.635546728	6.776599884
0.6355583	6.757757664
0.63556987	6.771778107
0.63558144	6.755881786
0.635593025	6.724367619
0.635604596	6.753461838
0.635616183	6.723945141
0.635627751	6.7208848
0.635639312	6.704926491
0.63565089	6.707547665
0.635662476	6.677758694
0.635674052	6.703613281
0.6356856	6.679483891
0.635697177	6.716755867
0.63570875	6.690469265
0.635720333	6.703863621
0.6357319	6.692162514
0.635743472	6.720739365
0.635755059	6.707589626
0.635766625	6.739593029
0.635778195	6.704755783
0.635789793	6.707754135
0.635801372	6.700623035
0.635812933	6.732038021
0.635824493	6.694937706
0.635836073	6.727731228
0.635847658	6.706988335
0.635859249	6.701756477
0.635870787	6.695732117
0.635882359	6.698387146
0.635893948	6.685225487
0.635905532	6.689231396
0.635917081	6.668066502
0.635928666	6.681326866
0.635940261	6.669946671
0.635951834	6.66008997
0.635963383	6.6546278
0.635974955	6.676790714
0.635986527	6.652793884
